Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Time/Total,Time/Epoch,Time/Update,Time/Evaluate,Train/Epoch,TotalSteps,Loss/Loss_diffuser,Loss/Loss_inv,Loss/Loss_total
nan,nan,nan,13136.12109375,197.77015686035156,197.77015686035156,0.0,66.0,66000.0,0.0016075883759185672,5.990723366267048e-07,0.0008040937245823443
nan,nan,nan,13340.6357421875,204.51466369628906,204.51466369628906,0.0,67.0,67000.0,0.0015752051258459687,6.302836368377029e-07,0.0007879177574068308
nan,nan,nan,13534.4521484375,193.81640625,193.81640625,0.0,68.0,68000.0,0.0015466177137568593,6.615829306610976e-07,0.00077363959280774
nan,nan,nan,13729.8076171875,195.35577392578125,195.35577392578125,0.0,69.0,69000.0,0.001492327661253512,6.45644490759878e-07,0.000746486650314182
nan,nan,nan,13922.6435546875,192.8363494873047,192.8363494873047,0.0,70.0,70000.0,0.0014854539185762405,6.205850695550907e-07,0.000743037206120789
nan,nan,nan,14119.9345703125,197.29043579101562,197.29043579101562,0.0,71.0,71000.0,0.0015175644075497985,5.734086698794272e-07,0.0007590689929202199
nan,nan,nan,14321.177734375,201.2429656982422,201.2429656982422,0.0,72.0,72000.0,0.0014807776315137744,6.896354989294196e-07,0.0007407336961477995
nan,nan,nan,14515.880859375,194.70358276367188,194.70358276367188,0.0,73.0,73000.0,0.0014713293639943004,5.727765142182761e-07,0.0007359510636888444
nan,nan,nan,14712.1513671875,196.27035522460938,196.27035522460938,0.0,74.0,74000.0,0.0014715121360495687,6.362997169162554e-07,0.0007360742310993373
nan,nan,nan,14908.3349609375,196.18399047851562,196.18399047851562,0.0,75.0,75000.0,0.0014246456557884812,5.663175102199602e-07,0.0007126059499569237
nan,nan,nan,15102.5625,194.2269744873047,194.2269744873047,0.0,76.0,76000.0,0.0014414007309824228,8.510846782883164e-07,0.0007211259799078107
nan,nan,nan,15300.4873046875,197.92532348632812,197.92532348632812,0.0,77.0,77000.0,0.0014125831658020616,5.305988679538132e-07,0.0007065568352118134
nan,nan,nan,15497.6884765625,197.20050048828125,197.20050048828125,0.0,78.0,78000.0,0.0013925537932664156,6.045705163160164e-07,0.0006965792272239923
nan,nan,nan,15692.193359375,194.50531005859375,194.50531005859375,0.0,79.0,79000.0,0.0013867822708562016,6.672673862340162e-07,0.0006937247235327959
nan,nan,nan,15888.2392578125,196.04620361328125,196.04620361328125,0.0,80.0,80000.0,0.0013766477350145578,5.697611982213857e-07,0.0006886087940074503
nan,nan,nan,16081.6787109375,193.4391632080078,193.4391632080078,0.0,81.0,81000.0,0.001409774529747665,6.452568186432472e-07,0.0007052099099382758
nan,nan,nan,16277.3994140625,195.72122192382812,195.72122192382812,0.0,82.0,82000.0,0.0013691531494259834,6.459503083533491e-07,0.0006848995690234005
nan,nan,nan,16475.892578125,198.49209594726562,198.49209594726562,0.0,83.0,83000.0,0.0014044286217540503,5.888092573513859e-07,0.0007025086670182645
nan,nan,nan,16667.65234375,191.7610626220703,191.7610626220703,0.0,84.0,84000.0,0.0013806854840368032,5.523062327483785e-07,0.0006906188791617751
nan,nan,nan,16863.70703125,196.05374145507812,196.05374145507812,0.0,85.0,85000.0,0.0013619523961097002,6.213091978679586e-07,0.0006812869105488062
nan,nan,nan,17063.205078125,199.49862670898438,199.49862670898438,0.0,86.0,86000.0,0.0013682020362466574,6.463492923103331e-07,0.0006844242452643812
nan,nan,nan,17257.56640625,194.3614959716797,194.3614959716797,0.0,87.0,87000.0,0.0012990115210413933,6.261548151087482e-07,0.0006498188013210893
nan,nan,nan,17469.005859375,211.43869018554688,211.43869018554688,0.0,88.0,88000.0,0.001285633770748973,5.299907570588402e-07,0.0006430819048546255
nan,nan,nan,17721.767578125,252.761474609375,252.761474609375,0.0,89.0,89000.0,0.0012568393722176552,5.073079591966234e-07,0.0006286732968874276
